year,age,school,group,topic,count
2018,010,4,2,136500,12
2018,010,4,9,136500,30
2018,010,5,1,136500,0
2018,010,5,2,136500,0
2018,010,5,9,136500,0
2018,010,6,1,136500,0
2018,010,6,2,136500,0
2018,010,6,9,136500,0
2018,010,9,1,136500,0
2018,010,9,2,136500,0
2018,010,9,9,136500,0
2018,010,77,1,136500,45
2018,010,77,2,136500,27
2018,010,77,9,136500,75
2018,010,9999,1,136500,45
2018,010,9999,2,136500,27
2018,010,9999,9,136500,75
2018,010,1,1,136600,9
2018,010,1,2,136600,9
2018,010,1,9,136600,15
2018,010,2,1,136600,..C
2018,010,2,2,136600,..C
2018,010,2,9,136600,6
2018,010,3,1,136600,..C
2018,010,3,2,136600,..C
2018,010,3,9,136600,9
2018,010,4,1,136600,6
2018,010,4,2,136600,9
2018,010,4,9,136600,15
2018,010,5,1,136600,..C
2018,010,5,2,136600,..C
2018,010,5,9,136600,3
2018,010,6,1,136600,..C
2018,010,6,2,136600,..C
2018,010,6,9,136600,0
2018,010,9,1,136600,..C
2018,010,9,2,136600,..C
2018,010,9,9,136600,0
2018,010,77,1,136600,18
2018,010,77,2,136600,15
2018,010,77,9,136600,36
2018,010,9999,1,136600,18
2018,010,9999,2,136600,15
2018,010,9999,9,136600,36
2018,010,1,1,136700,27
2018,010,1,2,136700,21
2018,010,1,9,136700,51
2018,010,2,1,136700,3
2018,010,2,2,136700,0
2018,010,2,9,136700,3
2018,010,3,1,136700,0
2018,010,3,2,136700,0
2018,010,3,9,136700,0
2018,010,4,1,136700,3
2018,010,4,2,136700,3
2018,010,4,9,136700,3
2018,010,5,1,136700,0
2018,010,5,2,136700,0
2018,010,5,9,136700,0
2018,010,6,1,136700,3
2018,010,6,2,136700,0
2018,010,6,9,136700,3
2018,010,9,1,136700,0
2018,010,9,2,136700,0
2018,010,9,9,136700,0
2018,010,77,1,136700,30
2018,010,77,2,136700,21
2018,010,77,9,136700,54
2018,010,9999,1,136700,30
2018,010,9999,2,136700,21
2018,010,9999,9,136700,54
2018,010,1,1,136800,6
2018,010,1,2,136800,6
2018,010,1,9,136800,12
2018,010,2,1,136800,..C
2018,010,2,2,136800,..C
2018,010,2,9,136800,0
2018,010,3,1,136800,..C
2018,010,3,2,136800,..C
2018,010,3,9,136800,9
2018,010,4,1,136800,..C
2018,010,4,2,136800,6
2018,010,4,9,136800,12
2018,010,5,1,136800,..C
2018,010,5,2,136800,..C
2018,010,5,9,136800,0
2018,010,6,1,136800,..C
2018,010,6,2,136800,..C
2018,010,6,9,136800,0
2018,010,9,1,136800,..C
2018,010,9,2,136800,..C
2018,010,9,9,136800,0
2018,010,77,1,136800,12
2018,010,77,2,136800,18
2018,010,77,9,136800,27
2018,010,9999,1,136800,12
2018,010,9999,2,136800,18
2018,010,9999,9,136800,27
2018,010,1,1,136900,12
2018,010,1,2,136900,6
2018,010,1,9,136900,18
2018,010,2,1,136900,..C
2018,010,2,2,136900,..C
2018,010,2,9,136900,0
2018,010,3,1,136900,..C
2018,010,3,2,136900,..C
2018,010,3,9,136900,0
2018,010,4,1,136900,..C
2018,010,4,2,136900,..C
2018,010,4,9,136900,6
2018,010,5,1,136900,..C
2018,010,5,2,136900,..C
2018,010,5,9,136900,0
2018,010,6,1,136900,..C
2018,010,6,2,136900,..C
2018,010,6,9,136900,0
2018,010,9,1,136900,..C
2018,010,9,2,136900,..C
2018,010,9,9,136900,0
2018,010,77,1,136900,15
